PROV_TERR_EN,BENEFICIARY_NAME_EN,BENEFICIARY_BAND_NBR,ASSET_CLASS_EN,PROJECT_NAME_EN,PROJECT_DESC_EN,PROJECT_STAGE_EN,LATITUDE,LONGITUDE,COORD_SYS
Alberta,Woodland Cree First Nation,474,Fundamental community infrastructure,Fire Prevention and Protection Plan,Additional capacity in fire protection.,Ongoing,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Education facilities,School Repairs,This project includes boiler replacement purchasing of a new heating ventilation and air conditioning system and associated plumbing.,Completed,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Fundamental community infrastructure,Replacement Fire Truck,For the purchase of a fire truck and fit ups for the Woodland Cree First Nation.,Completed,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Fundamental community infrastructure,Firefighter Training Initiative,Project for firefighter training a program that will benefit the entire community.,Ongoing,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Fundamental community infrastructure,Firefighter Training Initiative,Project for firefighter training a program that will benefit the entire community.,Ongoing,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Housing,Bearspaw Multi-Unit Project,To complete construction of 2 3-bedroom duplexes on the Bearspaw Nation for a total of 4 housing units.,Completed,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Housing,Chiniki Renovation/Addition Project,To complete additions of 10 housing units on the Chiniki Nation.,Completed,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Housing,Chiniki Community Infrastructure Plan,To create and implement a community infrastructure plan for the Chiniki Nation.,Completed,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Housing,Chiniki Housing Authority Project,To support the creation and implementation of a housing authority for Chiniki Nation.,Completed,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Frog Lake First Nation,465,Energy sustainability and connectivity,Land Use Planning ,Funding support to develop a community-led land use plan that underlines community's vision including priorities strategies and policies for lands and resources use and infrastructure development.,Completed,53.95750197,-110.4008053,GCS_North_American_1983_CSRS
Alberta,Frog Lake First Nation,465,Energy sustainability and connectivity,Integration of Land Use Planning with Infrastructure ,Continue with the development framework for integrated infrastructure and land use planning.,Completed,53.95750197,-110.4008053,GCS_North_American_1983_CSRS
Alberta,Driftpile Cree Nation,450,Education facilities,School Repairs,Replacement of modified bitumen membrane on school roof and modification of insulation thickness and drainage.,Ongoing,55.3432331,-115.78249374,GCS_North_American_1983_CSRS
Alberta,Chipewyan Prairie First Nation,470,Culture and recreation,Multiplex Feasibility Study,The project is in combination with a school project. Funding request is for the feasibility study of the multiplex portion. The Nation would like an adequate physical education program and a multiplex that can include a before and after school care program. Nation has completed conceptual designs and a schematic design report. School would also take in many students from nearby Conklin. ,Completed,55.93179351,-110.72177498,GCS_North_American_1983_CSRS
Alberta,Chipewyan Prairie First Nation,470,Solid waste management,Landfill Closure,Fencing off landfill.,Completed,55.93179351,-110.72177498,GCS_North_American_1983_CSRS
Alberta,Chipewyan Prairie First Nation,470,Transformation,First Nations Asset Management,The Asset Management Program (AMP) is a new Capital Facilities and Maintenance Program initiative that supports Indigenous communities to manage their infrastructure in a more sustainable way by allowing communities to manage assets proactively and take preventative measures. The AMP supports improved service levels and better medium and long-term social and economic outcomes for community residents. ,Ongoing,55.93179351,-110.72177498,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Solid waste management,Interim Waste Management,This project is to provide interim waste management through waste bins hauling and assessment of the waste site.,Completed,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Dene Tha' First Nation,448,Energy sustainability and connectivity,Fibre Optic Network Ring,Extention of initial pilot project funded in 2015-2016. Utilizing the fibre rings will reduce costs by aggregating bandwidth and subsequently increasing singular bandwidth to 20MB/s without any additional operating costs.,Ongoing,58.69815148,-118.69126662,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Water and wastewater,Replacement Water Truck,To provide a replacement water truck to provide suitable water distribution services to the Nation.,Completed,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Solid waste management,Interim Solid Waste Disposal ,Hauling of solid waste pending long term waste solution.,Completed,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Solid waste management,Addendum to Feasibility Study,Feasibility study requires addendum.,Ongoing,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Solid waste management,Interim Waste Measures,Trench closed hauling services.,Ongoing,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Fort McMurray #468 First Nation,468,Fundamental community infrastructure,Fire Prevention and Protection Plan,Additional capacity in fire protection.,Ongoing,56.41352732,-111.15746375,GCS_North_American_1983_CSRS
Alberta,Fort McMurray #468 First Nation,468,Fundamental community infrastructure,Firefighter Training Initiative,Project for firefighter training a program that will benefit the entire community.,Ongoing,56.41352732,-111.15746375,GCS_North_American_1983_CSRS
Alberta,Fort McMurray #468 First Nation,468,Housing,Housing Needs Assessment Project,To complete an inventory and needs assessment.,Completed,56.41352732,-111.15746375,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Housing,Multi-Unit Construction,Construction of 1 sixplex on the Woodland Cree Nation.,Completed,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Housing,Unit Renovation Project,To complete renovations of 10 housing units on the Woodland Cree First Nation.,Completed,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Kehewin Cree Nation,466,Energy sustainability and connectivity,Regional Comprehensive Community Planning Workshop,Alberta region is hosting a comprehensive community planning workshop.,Completed,54.11608845,-110.85709438,GCS_North_American_1983_CSRS
Alberta,Kehewin Cree Nation,466,Water and wastewater,Water Treatment Plant Operator,To provide funding for a Certified Level 2 Water Treatment Plant Operator.,Ongoing,54.11608845,-110.85709438,GCS_North_American_1983_CSRS
Alberta,Kehewin Cree Nation,466,Housing,New Construction,Constructing at least 6 housing units. Budget 2018 year 1 multi-unit housing project.,Ongoing,54.11608845,-110.85709438,GCS_North_American_1983_CSRS
Alberta,Kehewin Cree Nation,466,Housing,Lot Servicing for 6 Units,Lot servicing for 6 units. Supporting Budget 2018 year 1 multi-unit housing project.,Ongoing,54.11608845,-110.85709438,GCS_North_American_1983_CSRS
Alberta,Kehewin Cree Nation,466,Solid waste management,Addendum to Feasibility Study,Feasibility study requires addendum.,Ongoing,54.11608845,-110.85709438,GCS_North_American_1983_CSRS
Alberta,Kehewin Cree Nation,466,Solid waste management,Interim Waste Measures,Trench closed hauling services.,Ongoing,54.11608845,-110.85709438,GCS_North_American_1983_CSRS
Alberta,Kehewin Cree Nation,466,Solid waste management,Solid Waste Management Program Support,Solid waste capacity operator training community awareness delivery.,Ongoing,54.11608845,-110.85709438,GCS_North_American_1983_CSRS
Alberta,Cold Lake First Nations,464,Education facilities,School Feasibility,Feasibility study to assess the existing physical condition of the school.,Completed,54.33705071,-110.23618246,GCS_North_American_1983_CSRS
Alberta,Cold Lake First Nations,464,Water and wastewater,First Nations Training Program Water Communications Strategy,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,54.33705071,-110.23618246,GCS_North_American_1983_CSRS
Alberta,Cold Lake First Nations,464,Water and wastewater,Circuit Rider Training Program ,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,54.33705071,-110.23618246,GCS_North_American_1983_CSRS
Alberta,Cold Lake First Nations,464,Fundamental community infrastructure,Fire Prevention and Protection Plan,Additional capacity in fire protection.,Ongoing,54.33705071,-110.23618246,GCS_North_American_1983_CSRS
Alberta,Bigstone Cree Nation,458,Fundamental community infrastructure,Fire Hall Renovation,The fire hall will be renovated at Bigstone Cree to maintain fire services and proper storage of equipment.,Completed,55.94642528,-113.78296004,GCS_North_American_1983_CSRS
Alberta,Bigstone Cree Nation,458,Education facilities,Oski Pasikoniwew Kamik-Renovations/Portables,Delivery and full installation of three portable classrooms as well as renovations to electrical plumbing and sprinkler system.,Completed,55.94642528,-113.78296004,GCS_North_American_1983_CSRS
Alberta,Bigstone Cree Nation,458,Fundamental community infrastructure,Firefighter Training Initiative,Project for firefighter training a program that will benefit the entire community.,Ongoing,55.94642528,-113.78296004,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Water and wastewater,Wastewater Lagoon,Project for construction of wastewater lagoon at Heart Lake First Nation to provide the treatment of wastewater that meets the regulations and guidelines.,Completed,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Education facilities,School Renovations and Portables,Repairs to the Kihew Asiniy High School and Onchaminahos Elementary School including repairs to electrical system roofing and replacement of the boiler and air ventilation systems.,Completed,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Water and wastewater,First Nations Training Program Water Communications Strategy,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Water and wastewater,Circuit Rider Training Program ,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Energy sustainability and connectivity,Administrative Complex Solar Project,Funding will be used for reinforcement of roof to install solar panels. This project will help to reduce air pollution. This project when finished. will be the largest solar panel installation project on a First Nation reserve.,Completed,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Fort McMurray #468 First Nation,468,Housing,Community Infrastructure Plan Project,To create and implement a community infrastructure plan.,Completed,56.41352732,-111.15746375,GCS_North_American_1983_CSRS
Alberta,Fort McMurray #468 First Nation,468,Water and wastewater,Source Water Protection Plan,Source water protection plans for various First Nations in Alberta.,Ongoing,56.41352732,-111.15746375,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Energy sustainability and connectivity,Comprehensive Community Plan,Comprehensive community planning led by the community in order to determine future needs and plan accordingly.,Ongoing,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Water and wastewater,Source Water Protection Plan,Source water protection plans for various First Nations in Alberta.,Ongoing,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Housing,Housing Mentorship and Manager Certificate Program,Providing housing mentorship and housing manager training.,Ongoing,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Housing,Housing Maintenance Training - Community Dashboard,To create a home maintenance training program with a community dashboard.,Completed,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Housing,New Construction,Constructing at least 6 housing units. Budget 2018 year 1 multi-unit housing project.,Completed,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Housing,New Construction,Constructing at least 6 housing units. Budget 2018 year 1 multi-unit housing project.,Completed,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Beaver Lake Cree Nation,460,Solid waste management,Landfill Closure,Closing landfill. Renting bins and hauling to offsite landfill.,Ongoing,54.6813814,-111.91109903,GCS_North_American_1983_CSRS
Alberta,Beaver Lake Cree Nation,460,Solid waste management,Addendum to Feasibility Study,Feasibility study requires addendum.,Ongoing,54.6813814,-111.91109903,GCS_North_American_1983_CSRS
Alberta,Beaver Lake Cree Nation,460,Solid waste management,Interim Waste Measures,Trench closed hauling services.,Ongoing,54.6813814,-111.91109903,GCS_North_American_1983_CSRS
Alberta,Beaver Lake Cree Nation,460,Transformation,First Nations Asset Management,The Asset Management Program (AMP) is a new Capital Facilities and Maintenance Program initiative that supports Indigenous communities to manage their infrastructure in a more sustainable way by allowing communities to manage assets proactively and take preventative measures. The AMP supports improved service levels and better medium and long-term social and economic outcomes for community residents. ,Ongoing,54.6813814,-111.91109903,GCS_North_American_1983_CSRS
Alberta,Whitefish Lake First Nation ,459,Solid waste management,Waste Management Feasibility Study,This project is to conduct a waste management feasibility study.,Completed,55.91889578,-115.64807171,GCS_North_American_1983_CSRS
Alberta,Whitefish Lake First Nation ,459,Water and wastewater,Water Treatment Plant,Project for construction of water treatment plant at Whitefish Lake First Nation to provide safe and potable drinking water that meets the prescribed standards.,Ongoing,55.91889578,-115.64807171,GCS_North_American_1983_CSRS
Alberta,Whitefish Lake First Nation ,459,Water and wastewater,First Nations Training Program Water Communications Strategy,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,55.91889578,-115.64807171,GCS_North_American_1983_CSRS
Alberta,Bigstone Cree Nation,458,Housing,Home Maintenance Training Program,To provide home maintenance training mold awareness mold certification and trades training.,Completed,55.94642528,-113.78296004,GCS_North_American_1983_CSRS
Alberta,Bigstone Cree Nation,458,Housing,Housing Authority Project,To create and implement a housing authority on the Bigstone Cree Nation.,Completed,55.94642528,-113.78296004,GCS_North_American_1983_CSRS
Alberta,Bigstone Cree Nation,458,Housing,Mentorship Project,To retain a mentor to support and mentor housing staff.,Completed,55.94642528,-113.78296004,GCS_North_American_1983_CSRS
Alberta,Bigstone Cree Nation,458,Water and wastewater,Source Water Protection Plan,Source water protection plans for various First Nations in Alberta.,Ongoing,55.94642528,-113.78296004,GCS_North_American_1983_CSRS
Alberta,Bigstone Cree Nation,458,Energy sustainability and connectivity,Regional Comprehensive Community Planning Workshop,Alberta region is hosting a comprehensive community planning workshop.,Completed,55.94642528,-113.78296004,GCS_North_American_1983_CSRS
Alberta,Kapawe'no First Nation,452,Housing,Renovation,Renovation project for 10 units. Budget 2018 year 1 project.,Completed,55.54863395,-116.15486275,GCS_North_American_1983_CSRS
Alberta,Duncan's First Nation,451,Water and wastewater,Water Treatment Plant Upgrades,To provide funding for a proposed water treatment plant design.,Ongoing,56.10208054,-117.86502901,GCS_North_American_1983_CSRS
Alberta,Duncan's First Nation,451,Water and wastewater,First Nations Training Program Water Communications Strategy,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,56.10208054,-117.86502901,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Energy sustainability and connectivity,Fibre Optic Network Ring,Extention of initial pilot project funded in 2015-2016. Utilizing the fibre rings will reduce costs by aggregating bandwidth and subsequently increasing singular bandwidth to 20MB/s without any additional operating costs.,Ongoing,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Fundamental community infrastructure,Fire Prevention and Protection Plan,Additional capacity in fire protection.,Ongoing,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Swan River First Nation,457,Culture and recreation,Pow-wow Facilities,To build a seasonal cultural arbour for yearly pow-wow and culture camp.,Completed,55.32586274,-115.43341922,GCS_North_American_1983_CSRS
Alberta,Swan River First Nation,457,Housing,Renovation,Renovation project for 10 units. Budget 2018 year 1 project.,Completed,55.32586274,-115.43341922,GCS_North_American_1983_CSRS
Alberta,Swan River First Nation,457,Housing,Housing Mentorship Program,Support First Nations housing programs with basic home maintenance training.,Completed,55.32586274,-115.43341922,GCS_North_American_1983_CSRS
Alberta,Swan River First Nation,457,Solid waste management,Phase 2 Environmental Site Assessment and Cleanup of Waste Site ,Phase 2 Environmental Site Assessment and cleanup of waste site to establish recycling facility.,Completed,55.32586274,-115.43341922,GCS_North_American_1983_CSRS
Alberta,Swan River First Nation,457,Aboriginal Head Start on Reserve,Design and construction of a new early learning and child care facility.,Design and construction of a new early learning and child care facility.,Completed,55.32586274,-115.43341922,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Housing,Lot Servicing,Lot servicing for 6 lots. Supporting Budget 2018 year 1 multi-unit housing project. ,Completed,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Saddle Lake Cree Nation,462,Housing,Lot Servicing for 6 Units,Lot servicing for 6 lots. Supporting Budget 2018 year 1 multi-unit housing project. ,Completed,53.97027718,-111.69346805,GCS_North_American_1983_CSRS
Alberta,Sturgeon Lake Cree Nation,455,Energy sustainability and connectivity,Fibre Optic Network Ring,Extention of initial pilot project funded in 2015-2016. Utilizing the fibre rings will reduce costs by aggregating bandwidth and subsequently increasing singular bandwidth to 20MB/s without any additional operating costs.,Ongoing,55.06759463,-117.4180962,GCS_North_American_1983_CSRS
Alberta,Sturgeon Lake Cree Nation,455,Fundamental community infrastructure,Fire Prevention and Protection Plan,Additional capacity in fire protection.,Ongoing,55.06759463,-117.4180962,GCS_North_American_1983_CSRS
Alberta,Sturgeon Lake Cree Nation,455,Education facilities,School Renovations,Renovations to Sturgeon Lake Elementary School will address with health and safety requirements to meet building codes as well as upgrading the kitchen and portables.,Ongoing,55.06759463,-117.4180962,GCS_North_American_1983_CSRS
Alberta,Sturgeon Lake Cree Nation,455,Water and wastewater,Replacement Vacuum Truck,Purchase of a new vacuum truck to replace an existing truck with mechanical issues.,Completed,55.06759463,-117.4180962,GCS_North_American_1983_CSRS
Alberta,Sturgeon Lake Cree Nation,455,Fundamental community infrastructure,Firefighter Training Initiative,Project for firefighter training a program that will benefit the entire community.,Ongoing,55.06759463,-117.4180962,GCS_North_American_1983_CSRS
Alberta,Little Red River Cree Nation,447,Water and wastewater,First Nations Training Program Water Communications Strategy,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,58.46491987,-114.53346345,GCS_North_American_1983_CSRS
Alberta,Little Red River Cree Nation,447,Water and wastewater,Circuit Rider Training Program ,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,58.46491987,-114.53346345,GCS_North_American_1983_CSRS
Alberta,Little Red River Cree Nation,447,Fundamental community infrastructure,Fox Lake Road Access,The construction includes: 1- an extension of Highway 58 east to the community of Garden River (completed); and 2- the construction of 14.1 kilometres of road that will extend south from Highway 58 to the north shore of the Peace River. ,Completed,58.46491987,-114.53346345,GCS_North_American_1983_CSRS
Alberta,Little Red River Cree Nation,447,Energy sustainability and connectivity,Fibre Optic Network Ring,Extention of initial pilot project funded in 2015-2016. Utilizing the fibre rings will reduce costs by aggregating bandwidth and subsequently increasing singular bandwidth to 20MB/s without any additional operating costs.,Ongoing,58.46491987,-114.53346345,GCS_North_American_1983_CSRS
Alberta,Little Red River Cree Nation,447,Fundamental community infrastructure,Fire Prevention and Protection Plan,Additional capacity in fire protection.,Ongoing,58.46491987,-114.53346345,GCS_North_American_1983_CSRS
Alberta,Little Red River Cree Nation,447,Water and wastewater,Garden River and Fox Lake Water Systems,Provide funding for feasibility study of Garden River water system and update feasibility study for Fox Lake water system.,Ongoing,58.46491987,-114.53346345,GCS_North_American_1983_CSRS
Alberta,Duncan's First Nation,451,Water and wastewater,Circuit Rider Training Program ,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,56.10208054,-117.86502901,GCS_North_American_1983_CSRS
Alberta,Duncan's First Nation,451,Fundamental community infrastructure,Fire Prevention and Protection Plan,Additional capacity in fire protection.,Ongoing,56.10208054,-117.86502901,GCS_North_American_1983_CSRS
Alberta,Duncan's First Nation,451,Fundamental community infrastructure,Firefighter Training Initiative,Project for firefighter training a program that will benefit the entire community.,Ongoing,56.10208054,-117.86502901,GCS_North_American_1983_CSRS
Alberta,Duncan's First Nation,451,Housing,Home Maintenance Training Program,To provide home maintenance training mold awareness mold certification and trades training.,Completed,56.10208054,-117.86502901,GCS_North_American_1983_CSRS
Alberta,Duncan's First Nation,451,Housing,Housing Management Training Program,To provide housing/property management training.,Completed,56.10208054,-117.86502901,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Housing,Wesley Housing Maintenance Training,To provide housing and property maintenance training.,Completed,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Housing,Relocation of Units,To relocate 13 of the 40 modular homes that were used as an interim housing solution during the flood of 2013.,Ongoing,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Water and wastewater,Source Water Protection Plan,Source water protection plans for various First Nations in Alberta.,Ongoing,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Sucker Creek First Nation,456,Water and wastewater,First Nations Training Program Water Communications Strategy,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,55.40420096,-116.15425946,GCS_North_American_1983_CSRS
Alberta,Sucker Creek First Nation,456,Water and wastewater,Circuit Rider Training Program ,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,55.40420096,-116.15425946,GCS_North_American_1983_CSRS
Alberta,Driftpile Cree Nation,450,Transformation,First Nations Asset Management,The Asset Management Program (AMP) is a new Capital Facilities and Maintenance Program initiative that supports Indigenous communities to manage their infrastructure in a more sustainable way by allowing communities to manage assets proactively and take preventative measures. The AMP supports improved service levels and better medium and long-term social and economic outcomes for community residents. ,Ongoing,55.3432331,-115.78249374,GCS_North_American_1983_CSRS
Alberta,Horse Lake First Nation,449,Water and wastewater,Water Treatment Plant Upgrade,Project for construction on upgrade of water treatment plant at Horse Lake First Nation to provide safe and potable drinking water that meets the prescribed standards.,Completed,55.35171627,-119.69369397,GCS_North_American_1983_CSRS
Alberta,Horse Lake First Nation,449,Water and wastewater,First Nations Training Program Water Communications Strategy,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,55.35171627,-119.69369397,GCS_North_American_1983_CSRS
Alberta,Sturgeon Lake Cree Nation,455,Housing,Housing Needs Assessment Project,To complete an inventory and needs assessment.,Completed,55.06759463,-117.4180962,GCS_North_American_1983_CSRS
Alberta,Sturgeon Lake Cree Nation,455,Housing,Mold Certification Project,To train housing staff in mold certification.,Completed,55.06759463,-117.4180962,GCS_North_American_1983_CSRS
Alberta,Dene Tha' First Nation,448,Education facilities,Chateh School Sprinkler Repairs,This project is to repair the sprinkler system.,Ongoing,58.69815148,-118.69126662,GCS_North_American_1983_CSRS
Alberta,Dene Tha' First Nation,448,Fundamental community infrastructure,Fire Prevention and Protection Plan,Additional capacity in fire protection.,Ongoing,58.69815148,-118.69126662,GCS_North_American_1983_CSRS
Alberta,Dene Tha' First Nation,448,Water and wastewater,Meander Water System,Project for water treatment plant construction at Dene Tha' First Nation to provide safe and potable drinking water for the community that meets the prescribed standards.,Ongoing,58.69815148,-118.69126662,GCS_North_American_1983_CSRS
Alberta,Dene Tha' First Nation,448,Fundamental community infrastructure,Overland Flooding Mitigation - Feasibility/Design,Feasibility/design for overland flooding mitigation for the Dene Tha' First Nation in Alberta.,Ongoing,58.69815148,-118.69126662,GCS_North_American_1983_CSRS
Alberta,Dene Tha' First Nation,448,Fundamental community infrastructure,Firefighter Training Initiative,Project for firefighter training a program that will benefit the entire community.,Ongoing,58.69815148,-118.69126662,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Water and wastewater,Source Water Protection Plan,Source water protection plans for various First Nations in Alberta.,Ongoing,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Water and wastewater,Phase 2B New Water Ltd - Water Main,To construct water mains at Woodland Cree First Nation to tie-into the Phase 2B New Water Ltd (Northern Sunrise County) Regional Water Line thus providing safe and potable drinking water for the community that meets the prescribed standards.,Completed,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Water and wastewater,Replacement Water Truck,Purchase of a new water truck to replace the existing aging vehicle.,Completed,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Housing,New Construction,Constructing at least 6 housing units. Budget 2018 year 1 project.,Ongoing,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Housing,Lot Servicing,Lot servicing for 6 lots. Supporting Budget 2018 year 1 multi-unit housing project. ,Ongoing,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Woodland Cree First Nation,474,Solid waste management,Solid Waste Management Program Support,Solid waste capacity operator training community awareness delivery.,Ongoing,56.47236789,-116.40182477,GCS_North_American_1983_CSRS
Alberta,Bearspaw,473,Water and wastewater,First Nations Training Program Water Communications Strategy,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,51.16987015,-114.84664923,GCS_North_American_1983_CSRS
Alberta,Bearspaw,473,Water and wastewater,Circuit Rider Training Program ,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,51.16987015,-114.84664923,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Housing,Needs Assessment - Chiniki,To conduct a housing needs assessment for Chiniki.,Completed,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Culture and recreation,Morley Arena Renovation,Modernization of arena including refrigeration system and flooring.,Completed,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Solid waste management,Waste Management Feasibility Study and Truck Repair,This project is to conduct a waste management feasibility study and repair two garbage trucks.,Completed,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Solid waste management,Solid Waste Management Feasibility Study Addendum,Added information and options.,Completed,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Solid waste management,Solid Waste Management Program Support,Solid waste capacity operator training community awareness delivery.,Ongoing,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Stoney Nakoda First Nation,471,Solid waste management,Unauthorized Waste Site Cleanup,Cleanup of unauthorized waste site ,Ongoing,51.16981973,-114.84689136,GCS_North_American_1983_CSRS
Alberta,Cold Lake First Nations,464,Fundamental community infrastructure,Fire Equipment,Fire equipment at Cold Lake First Nations needs upgrades for the fire pump and water lift station so that the fire truck can function properly.,Completed,54.33705071,-110.23618246,GCS_North_American_1983_CSRS
Alberta,Cold Lake First Nations,464,Fundamental community infrastructure,Firefighter Training Initiative,Project for firefighter training a program that will benefit the entire community.,Ongoing,54.33705071,-110.23618246,GCS_North_American_1983_CSRS
Alberta,Horse Lake First Nation,449,Water and wastewater,Circuit Rider Training Program ,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,55.35171627,-119.69369397,GCS_North_American_1983_CSRS
Alberta,Horse Lake First Nation,449,Fundamental community infrastructure,Road Paving,The Main Road at Horse Lake First Nation will be paved to better service traffic and emergency vehicles into the reserve.,Completed,55.35171627,-119.69369397,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Water and wastewater,First Nations Training Program Water Communications Strategy,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Water and wastewater,Circuit Rider Training Program ,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Energy sustainability and connectivity,Fibre Optic Network Ring,Extention of initial pilot project funded in 2015-2016. Utilizing the fibre rings will reduce costs by aggregating bandwidth and subsequently increasing singular bandwidth to 20MB/s without any additional operating costs.,Ongoing,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Heart Lake First Nation,469,Fundamental community infrastructure,Fire Prevention and Protection Plan,Additional capacity in fire protection.,Ongoing,55.0312881,-111.54004954,GCS_North_American_1983_CSRS
Alberta,Dene Tha' First Nation,448,Fundamental community infrastructure,Fire Pumps and Hydrant Plan,Urgent operations and maintenance repairs to non-functional fire pumps and hydrants in strategic areas in order to increase fire protection in communities.,Completed,58.69815148,-118.69126662,GCS_North_American_1983_CSRS
